donation_id,contact_id,campaign_id,amount_usd,donated_at,transaction_id,pledge_id
D-00407,C-0635,CMP-02,25,2026-06-15T16:16:00Z,,
D-00765,C-0673,CMP-03,10,2026-04-22T09:00:00Z,,PL-022
D-00562,C-0743,CMP-05,100,2026-05-03T11:53:00Z,,
D-00652,C-0565,CMP-05,500,2026-06-28T11:03:00Z,,
D-00796,C-0227,CMP-03,25,2026-05-28T09:00:00Z,,PL-028
D-00664,C-0283,CMP-03,10,2026-03-02T09:00:00Z,,PL-002
D-00454,C-0014,CMP-01,10,2026-05-20T08:13:00Z,,
D-00348,C-0592,CMP-03,500,2026-07-09T08:28:00Z,,
D-00066,C-0558,CMP-02,250,2026-07-04T23:17:59Z,TXN-000068,
D-00358,C-0200,CMP-05,100,2026-03-21T14:55:00Z,,
D-00592,C-0291,CMP-01,10,2026-03-01T16:49:00Z,,
D-00053,C-0213,CMP-04,10,2026-07-03T16:26:21Z,TXN-000054,
D-00227,C-0255,CMP-04,100,2026-07-14T06:07:04Z,TXN-000231,
D-00346,C-0753,CMP-05,25,2026-05-07T11:36:00Z,,
D-00361,C-0436,CMP-02,500,2026-03-07T15:47:00Z,,
D-00679,C-0460,CMP-03,25,2026-03-05T09:00:00Z,,PL-005
D-00095,C-0460,CMP-04,50,2026-07-06T06:08:56Z,TXN-000097,
D-00314,C-0625,CMP-04,500,2026-03-02T15:53:00Z,,
D-00673,C-0479,CMP-03,10,2026-07-03T09:00:00Z,,PL-003
D-00719,C-0334,CMP-03,25,2026-03-13T09:00:00Z,,PL-013
D-00588,C-0228,CMP-05,25,2026-07-03T08:55:00Z,,
D-00251,C-0049,CMP-04,100,2026-03-26T14:12:00Z,,
D-00006,C-0564,CMP-04,10,2026-07-01T09:11:03Z,TXN-000006,
D-00247,C-0509,CMP-05,100,2026-04-13T11:05:00Z,,
D-00312,C-0768,CMP-05,50,2026-03-21T11:24:00Z,,
D-00539,C-0182,CMP-05,50,2026-03-08T18:02:00Z,,
D-00599,C-0644,CMP-04,100,2026-05-08T09:18:00Z,,
D-00508,C-0411,CMP-02,500,2026-03-11T14:18:00Z,,
D-00255,C-0716,CMP-01,10,2026-04-04T13:34:00Z,,
D-00017,C-0512,CMP-02,10,2026-07-02T05:46:31Z,TXN-000018,
D-00432,C-0010,CMP-03,10,2026-03-04T19:35:00Z,,
D-00657,C-0271,CMP-02,25,2026-06-19T18:30:00Z,,
D-00085,C-0479,CMP-02,100,2026-07-05T09:21:46Z,TXN-000087,
D-00329,C-0610,CMP-03,100,2026-04-14T11:43:00Z,,
D-00326,C-0388,CMP-01,25,2026-07-21T17:46:00Z,,
D-00167,C-0104,CMP-04,100,2026-07-10T21:51:08Z,TXN-000171,
D-00343,C-0661,CMP-05,10,2026-04-28T10:10:00Z,,
D-00475,C-0703,CMP-05,25,2026-03-24T09:55:00Z,,
D-00084,C-0460,CMP-04,250,2026-07-05T13:38:58Z,TXN-000086,
D-00483,C-0767,CMP-05,500,2026-05-25T16:03:00Z,,
D-00211,C-0239,CMP-04,10,2026-07-13T23:21:24Z,TXN-000215,
D-00501,C-0604,CMP-02,25,2026-05-15T08:32:00Z,,
D-00555,C-0505,CMP-01,50,2026-05-26T14:11:00Z,,
D-00527,C-0558,CMP-04,500,2026-03-18T16:41:00Z,,
D-00249,C-0248,CMP-01,500,2026-05-07T11:22:00Z,,
D-00575,C-0549,CMP-05,10,2026-07-10T18:31:00Z,,
D-00112,C-0398,CMP-02,250,2026-07-06T21:27:29Z,TXN-000114,
D-00070,C-0313,CMP-02,10,2026-07-04T12:54:32Z,TXN-000072,
D-00209,C-0538,CMP-02,15,2026-07-13T05:25:10Z,TXN-000213,
D-00363,C-0418,CMP-01,10,2026-03-03T11:10:00Z,,
D-00096,C-0720,CMP-02,250,2026-07-06T16:54:25Z,TXN-000098,
D-00561,C-0564,CMP-04,50,2026-05-04T17:36:00Z,,
D-00176,C-0230,CMP-04,10,2026-07-10T15:24:54Z,TXN-000180,
D-00474,C-0557,CMP-04,500,2026-04-25T14:15:00Z,,
D-00676,C-0367,CMP-03,15,2026-05-04T09:00:00Z,,PL-004
D-00478,C-0088,CMP-02,500,2026-05-14T16:12:00Z,,
D-00640,C-0586,CMP-04,10,2026-03-17T09:20:00Z,,
D-00008,C-0243,CMP-02,15,2026-07-01T05:27:13Z,TXN-000008,
D-00305,C-0016,CMP-05,100,2026-06-18T11:43:00Z,,
D-00613,C-0025,CMP-05,25,2026-05-26T12:24:00Z,,
D-00122,C-0272,CMP-04,50,2026-07-07T22:17:36Z,TXN-000126,
D-00071,C-0064,CMP-02,50,2026-07-05T02:41:30Z,TXN-000073,
D-00717,C-0024,CMP-03,15,2026-06-12T09:00:00Z,,PL-012
D-00619,C-0039,CMP-03,25,2026-04-25T09:39:00Z,,
D-00011,C-0722,CMP-04,25,2026-07-01T15:07:34Z,TXN-000011,
D-00229,C-0508,CMP-04,50,2026-07-14T17:58:32Z,TXN-000233,
D-00265,C-0142,CMP-03,50,2026-03-21T14:38:00Z,,
D-00727,C-0490,CMP-03,10,2026-06-14T09:00:00Z,,PL-014
D-00566,C-0298,CMP-02,25,2026-05-04T15:12:00Z,,
D-00136,C-0235,CMP-04,250,2026-07-08T17:32:49Z,TXN-000140,
D-00764,C-0673,CMP-03,10,2026-03-22T09:00:00Z,,PL-022
D-00182,C-0287,CMP-02,15,2026-07-11T07:47:36Z,TXN-000186,
D-00086,C-0307,CMP-04,50,2026-07-06T02:04:15Z,TXN-000088,
D-00087,C-0537,CMP-02,10,2026-07-05T18:16:20Z,TXN-000089,
D-00026,C-0118,CMP-02,25,2026-07-02T09:57:02Z,TXN-000027,
D-00629,C-0799,CMP-04,100,2026-05-08T19:13:00Z,,
D-00595,C-0457,CMP-02,50,2026-07-07T16:48:00Z,,
D-00163,C-0435,CMP-02,15,2026-07-10T09:26:35Z,TXN-000167,
D-00769,C-0605,CMP-03,10,2026-03-23T09:00:00Z,,PL-023
D-00493,C-0139,CMP-01,100,2026-07-11T08:07:00Z,,
D-00394,C-0388,CMP-04,50,2026-04-28T15:05:00Z,,
D-00587,C-0522,CMP-05,500,2026-04-24T19:48:00Z,,
D-00405,C-0581,CMP-01,25,2026-04-05T15:36:00Z,,
D-00252,C-0575,CMP-05,50,2026-03-13T19:51:00Z,,
D-00159,C-0021,CMP-04,100,2026-07-09T08:40:33Z,TXN-000163,
D-00515,C-0091,CMP-01,10,2026-05-01T13:59:00Z,,
D-00654,C-0126,CMP-02,500,2026-07-04T16:03:00Z,,
D-00079,C-0331,CMP-02,250,2026-07-05T09:12:28Z,TXN-000081,
D-00535,C-0444,CMP-04,10,2026-06-15T12:09:00Z,,
D-00608,C-0590,CMP-01,500,2026-03-11T09:25:00Z,,
D-00446,C-0491,CMP-03,500,2026-06-02T18:27:00Z,,
D-00718,C-0024,CMP-03,15,2026-07-12T09:00:00Z,,PL-012
D-00352,C-0065,CMP-02,10,2026-06-16T09:47:00Z,,
D-00773,C-0605,CMP-03,10,2026-07-23T09:00:00Z,,PL-023
D-00076,C-0265,CMP-04,100,2026-07-04T07:02:52Z,TXN-000078,
D-00576,C-0626,CMP-01,500,2026-05-17T13:43:00Z,,
D-00428,C-0701,CMP-01,50,2026-06-19T11:05:00Z,,
D-00487,C-0471,CMP-03,100,2026-07-07T18:12:00Z,,
D-00016,C-0281,CMP-02,25,2026-07-03T03:18:59Z,TXN-000017,
D-00779,C-0706,CMP-03,25,2026-03-25T09:00:00Z,,PL-025
D-00782,C-0706,CMP-03,25,2026-06-25T09:00:00Z,,PL-025
D-00068,C-0147,CMP-02,100,2026-07-04T06:53:18Z,TXN-000070,
D-00680,C-0460,CMP-03,25,2026-04-05T09:00:00Z,,PL-005
D-00137,C-0520,CMP-02,10,2026-07-09T02:00:20Z,TXN-000141,
D-00662,C-0590,CMP-03,10,2026-06-01T09:00:00Z,,PL-001
D-00476,C-0535,CMP-01,50,2026-04-15T08:05:00Z,,
D-00653,C-0029,CMP-01,25,2026-04-22T13:12:00Z,,
D-00330,C-0134,CMP-04,25,2026-03-05T15:43:00Z,,
D-00389,C-0788,CMP-05,10,2026-06-19T19:55:00Z,,
D-00082,C-0032,CMP-02,10,2026-07-05T10:22:59Z,TXN-000084,
D-00342,C-0660,CMP-03,500,2026-06-13T10:47:00Z,,
D-00014,C-0130,CMP-04,100,2026-07-02T10:33:35Z,TXN-000015,
D-00063,C-0460,CMP-04,100,2026-07-04T23:00:59Z,TXN-000065,
D-00740,C-0100,CMP-03,25,2026-04-17T09:00:00Z,,PL-017
D-00333,C-0774,CMP-04,100,2026-05-16T08:54:00Z,,
D-00199,C-0211,CMP-04,250,2026-07-12T06:48:11Z,TXN-000203,
D-00771,C-0605,CMP-03,10,2026-05-23T09:00:00Z,,PL-023
D-00424,C-0304,CMP-03,100,2026-04-06T15:45:00Z,,
D-00419,C-0510,CMP-02,25,2026-05-21T16:13:00Z,,
D-00387,C-0487,CMP-01,100,2026-03-21T19:58:00Z,,
D-00547,C-0154,CMP-05,50,2026-07-04T12:02:00Z,,
D-00552,C-0654,CMP-01,25,2026-07-13T15:20:00Z,,
D-00436,C-0778,CMP-04,10,2026-06-18T19:58:00Z,,
D-00332,C-0736,CMP-02,100,2026-04-14T11:04:00Z,,
D-00360,C-0204,CMP-01,100,2026-05-19T08:48:00Z,,
D-00357,C-0402,CMP-02,100,2026-07-21T09:01:00Z,,
D-00192,C-0525,CMP-04,100,2026-07-11T11:40:11Z,TXN-000196,
D-00726,C-0490,CMP-03,10,2026-05-14T09:00:00Z,,PL-014
D-00234,C-0161,CMP-02,250,2026-07-15T03:11:27Z,TXN-000238,
D-00447,C-0325,CMP-03,50,2026-04-24T10:22:00Z,,
D-00318,C-0347,CMP-05,50,2026-06-11T17:05:00Z,,
D-00803,C-0221,CMP-03,25,2026-07-28T09:00:00Z,,PL-029
D-00750,C-0062,CMP-03,10,2026-04-19T09:00:00Z,,PL-019
D-00488,C-0523,CMP-03,500,2026-05-18T08:56:00Z,,
D-00445,C-0302,CMP-01,25,2026-07-06T08:55:00Z,,
D-00477,C-0279,CMP-01,100,2026-07-19T15:18:00Z,,
D-00172,C-0469,CMP-02,15,2026-07-10T15:49:51Z,TXN-000176,
D-00499,C-0048,CMP-05,10,2026-06-06T13:07:00Z,,
D-00037,C-0773,CMP-02,10,2026-07-02T12:17:46Z,TXN-000038,
D-00072,C-0313,CMP-04,25,2026-07-04T06:41:29Z,TXN-000074,
D-00391,C-0331,CMP-02,50,2026-04-06T11:23:00Z,,
D-00585,C-0072,CMP-04,50,2026-06-23T18:53:00Z,,
D-00463,C-0284,CMP-03,10,2026-07-09T08:35:00Z,,
D-00540,C-0601,CMP-05,10,2026-07-20T18:46:00Z,,
D-00711,C-0151,CMP-03,10,2026-05-11T09:00:00Z,,PL-011
D-00516,C-0134,CMP-03,10,2026-05-01T08:23:00Z,,
D-00612,C-0307,CMP-02,100,2026-05-09T11:26:00Z,,
D-00450,C-0654,CMP-03,500,2026-03-18T08:38:00Z,,
D-00418,C-0790,CMP-02,50,2026-06-27T18:15:00Z,,
D-00190,C-0049,CMP-02,250,2026-07-12T01:06:01Z,TXN-000194,
D-00620,C-0031,CMP-01,500,2026-05-19T13:37:00Z,,
D-00373,C-0601,CMP-05,100,2026-07-05T10:14:00Z,,
D-00152,C-0586,CMP-04,15,2026-07-09T17:53:06Z,TXN-000156,
D-00577,C-0176,CMP-03,10,2026-04-19T14:39:00Z,,
D-00131,C-0343,CMP-04,100,2026-07-08T19:35:58Z,TXN-000135,
D-00157,C-0674,CMP-04,100,2026-07-09T12:21:48Z,TXN-000161,
D-00313,C-0178,CMP-03,25,2026-06-12T18:06:00Z,,
D-00795,C-0227,CMP-03,25,2026-04-28T09:00:00Z,,PL-028
D-00440,C-0788,CMP-01,100,2026-04-15T14:09:00Z,,
D-00269,C-0182,CMP-02,50,2026-06-02T09:13:00Z,,
D-00245,C-0777,CMP-05,10,2026-03-15T12:09:00Z,,
D-00433,C-0797,CMP-04,50,2026-07-26T14:11:00Z,,
D-00548,C-0657,CMP-03,100,2026-06-09T15:50:00Z,,
D-00042,C-0737,CMP-04,100,2026-07-03T07:12:43Z,TXN-000043,
D-00731,C-0281,CMP-03,10,2026-05-15T09:00:00Z,,PL-015
D-00509,C-0723,CMP-03,25,2026-06-08T15:14:00Z,,
D-00694,C-0562,CMP-03,25,2026-03-08T09:00:00Z,,PL-008
D-00777,C-0626,CMP-03,10,2026-06-24T09:00:00Z,,PL-024
D-00302,C-0113,CMP-01,10,2026-07-27T11:04:00Z,,
D-00275,C-0631,CMP-03,500,2026-06-21T11:06:00Z,,
D-00534,C-0037,CMP-04,500,2026-04-02T10:37:00Z,,
D-00334,C-0246,CMP-04,10,2026-05-15T09:51:00Z,,
D-00621,C-0300,CMP-02,50,2026-05-19T12:43:00Z,,
D-00596,C-0442,CMP-02,25,2026-05-19T16:06:00Z,,
D-00521,C-0285,CMP-05,500,2026-04-16T12:32:00Z,,
D-00651,C-0148,CMP-03,100,2026-06-08T14:59:00Z,,
D-00388,C-0444,CMP-04,25,2026-06-13T14:23:00Z,,
D-00553,C-0569,CMP-01,100,2026-05-08T19:55:00Z,,
D-00546,C-0035,CMP-05,100,2026-07-18T17:41:00Z,,
D-00170,C-0641,CMP-04,50,2026-07-10T09:04:34Z,TXN-000174,
D-00104,C-0618,CMP-04,250,2026-07-06T20:45:17Z,TXN-000106,
D-00179,C-0060,CMP-02,10,2026-07-11T02:47:01Z,TXN-000183,
D-00542,C-0561,CMP-04,500,2026-05-18T17:55:00Z,,
D-00768,C-0673,CMP-03,10,2026-07-22T09:00:00Z,,PL-022
D-00338,C-0664,CMP-01,500,2026-03-18T12:11:00Z,,
D-00550,C-0459,CMP-04,100,2026-07-22T17:18:00Z,,
D-00022,C-0644,CMP-02,100,2026-07-02T20:44:38Z,TXN-000023,
D-00133,C-0280,CMP-04,15,2026-07-08T10:10:55Z,TXN-000137,
D-00148,C-0522,CMP-04,15,2026-07-09T06:23:49Z,TXN-000152,
D-00108,C-0387,CMP-04,100,2026-07-06T14:34:46Z,TXN-000110,
D-00691,C-0044,CMP-03,25,2026-05-07T09:00:00Z,,PL-007
D-00735,C-0688,CMP-03,25,2026-04-16T09:00:00Z,,PL-016
D-00417,C-0462,CMP-02,25,2026-03-04T11:26:00Z,,
D-00344,C-0685,CMP-02,25,2026-06-22T16:45:00Z,,
D-00034,C-0171,CMP-02,50,2026-07-02T05:41:37Z,TXN-000035,
D-00276,C-0163,CMP-01,10,2026-07-19T11:34:00Z,,
D-00712,C-0151,CMP-03,10,2026-06-11T09:00:00Z,,PL-011
D-00431,C-0485,CMP-01,10,2026-07-03T11:18:00Z,,
D-00274,C-0542,CMP-03,25,2026-03-04T15:28:00Z,,
D-00024,C-0035,CMP-02,50,2026-07-02T10:30:33Z,TXN-000025,
D-00601,C-0731,CMP-02,50,2026-05-18T12:00:00Z,,
D-00384,C-0117,CMP-01,500,2026-06-03T14:27:00Z,,
D-00210,C-0004,CMP-02,100,2026-07-13T10:09:07Z,TXN-000214,
D-00678,C-0367,CMP-03,15,2026-07-04T09:00:00Z,,PL-004
D-00556,C-0002,CMP-02,10,2026-03-01T08:37:00Z,,
D-00598,C-0589,CMP-03,50,2026-06-28T14:56:00Z,,
D-00166,C-0096,CMP-04,50,2026-07-10T07:31:01Z,TXN-000170,
D-00537,C-0255,CMP-04,500,2026-06-26T08:34:00Z,,
D-00186,C-0264,CMP-04,25,2026-07-12T01:03:25Z,TXN-000190,
D-00661,C-0590,CMP-03,10,2026-05-01T09:00:00Z,,PL-001
D-00050,C-0314,CMP-04,250,2026-07-03T19:41:19Z,TXN-000051,
D-00385,C-0662,CMP-05,500,2026-03-26T12:29:00Z,,
D-00287,C-0490,CMP-02,50,2026-05-20T10:45:00Z,,
D-00772,C-0605,CMP-03,10,2026-06-23T09:00:00Z,,PL-023
D-00204,C-0518,CMP-02,25,2026-07-12T12:39:38Z,TXN-000208,
D-00586,C-0781,CMP-05,100,2026-06-12T16:58:00Z,,
D-00572,C-0459,CMP-02,25,2026-07-13T14:24:00Z,,
D-00010,C-0446,CMP-04,10,2026-07-01T23:43:47Z,TXN-000010,
D-00184,C-0323,CMP-04,50,2026-07-11T19:34:32Z,TXN-000188,
D-00015,C-0580,CMP-02,250,2026-07-02T12:47:33Z,TXN-000016,
D-00075,C-0554,CMP-02,25,2026-07-04T09:58:29Z,TXN-000077,
D-00692,C-0044,CMP-03,25,2026-06-07T09:00:00Z,,PL-007
D-00618,C-0370,CMP-02,500,2026-03-04T16:05:00Z,,
D-00073,C-0525,CMP-02,50,2026-07-04T08:14:25Z,TXN-000075,
D-00406,C-0232,CMP-03,10,2026-05-13T08:17:00Z,,
D-00583,C-0170,CMP-04,25,2026-03-04T12:12:00Z,,
D-00706,C-0013,CMP-03,10,2026-05-10T09:00:00Z,,PL-010
D-00794,C-0227,CMP-03,25,2026-03-28T09:00:00Z,,PL-028
D-00739,C-0100,CMP-03,25,2026-03-17T09:00:00Z,,PL-017
D-00292,C-0179,CMP-01,50,2026-05-17T15:40:00Z,,
D-00185,C-0564,CMP-04,10,2026-07-11T15:18:33Z,TXN-000189,
D-00382,C-0205,CMP-04,25,2026-05-06T13:29:00Z,,
D-00266,C-0036,CMP-04,25,2026-03-24T19:18:00Z,,
D-00102,C-0039,CMP-04,15,2026-07-06T17:44:44Z,TXN-000104,
D-00105,C-0587,CMP-02,50,2026-07-06T05:40:34Z,TXN-000107,
D-00155,C-0440,CMP-04,50,2026-07-10T03:06:17Z,TXN-000159,
D-00617,C-0126,CMP-01,10,2026-03-09T11:10:00Z,,
D-00660,C-0590,CMP-03,10,2026-04-01T09:00:00Z,,PL-001
D-00743,C-0100,CMP-03,25,2026-07-17T09:00:00Z,,PL-017
D-00593,C-0133,CMP-05,100,2026-03-09T14:04:00Z,,
D-00257,C-0672,CMP-01,25,2026-06-17T15:20:00Z,,
D-00283,C-0002,CMP-04,25,2026-06-14T18:45:00Z,,
D-00289,C-0494,CMP-01,500,2026-04-05T14:56:00Z,,
D-00492,C-0314,CMP-03,50,2026-03-26T11:56:00Z,,
D-00323,C-0037,CMP-05,100,2026-04-28T15:23:00Z,,
D-00648,C-0185,CMP-05,10,2026-06-28T13:16:00Z,,
D-00067,C-0497,CMP-04,50,2026-07-04T05:48:52Z,TXN-000069,
D-00368,C-0777,CMP-03,500,2026-03-14T08:38:00Z,,
D-00222,C-0123,CMP-02,25,2026-07-15T03:23:01Z,TXN-000226,
D-00069,C-0396,CMP-04,100,2026-07-04T16:17:04Z,TXN-000071,
D-00135,C-0690,CMP-02,100,2026-07-08T08:23:47Z,TXN-000139,
D-00116,C-0064,CMP-02,25,2026-07-07T12:50:31Z,TXN-000118,
D-00567,C-0407,CMP-01,25,2026-06-17T14:52:00Z,,
D-00522,C-0263,CMP-05,500,2026-05-12T17:48:00Z,,
D-00505,C-0024,CMP-03,100,2026-04-28T18:11:00Z,,
D-00461,C-0692,CMP-05,10,2026-03-25T09:26:00Z,,
D-00177,C-0726,CMP-02,10,2026-07-10T07:29:49Z,TXN-000181,
D-00494,C-0172,CMP-05,25,2026-03-01T18:11:00Z,,
D-00443,C-0377,CMP-02,10,2026-03-01T16:07:00Z,,
D-00703,C-0349,CMP-03,25,2026-07-09T09:00:00Z,,PL-009
D-00378,C-0120,CMP-02,100,2026-03-06T17:05:00Z,,
D-00627,C-0690,CMP-01,10,2026-07-04T11:37:00Z,,
D-00517,C-0463,CMP-03,50,2026-04-19T15:44:00Z,,
D-00253,C-0082,CMP-04,500,2026-05-20T14:49:00Z,,
D-00168,C-0384,CMP-02,25,2026-07-10T22:09:53Z,TXN-000172,
D-00013,C-0247,CMP-02,250,2026-07-02T12:42:55Z,TXN-000014,
D-00688,C-0274,CMP-03,25,2026-07-06T09:00:00Z,,PL-006
D-00381,C-0128,CMP-01,500,2026-06-02T12:50:00Z,,
D-00449,C-0425,CMP-02,25,2026-06-26T09:56:00Z,,
D-00684,C-0274,CMP-03,25,2026-03-06T09:00:00Z,,PL-006
D-00223,C-0498,CMP-04,100,2026-07-14T13:43:36Z,TXN-000227,
D-00530,C-0363,CMP-02,50,2026-06-23T16:33:00Z,,
D-00367,C-0255,CMP-04,50,2026-05-23T11:50:00Z,,
D-00216,C-0687,CMP-02,10,2026-07-13T23:19:33Z,TXN-000220,
D-00755,C-0525,CMP-03,25,2026-04-20T09:00:00Z,,PL-020
D-00600,C-0014,CMP-04,100,2026-03-18T15:19:00Z,,
D-00349,C-0186,CMP-01,100,2026-05-02T17:09:00Z,,
D-00604,C-0456,CMP-01,500,2026-05-23T18:41:00Z,,
D-00622,C-0357,CMP-05,50,2026-04-25T18:24:00Z,,
D-00328,C-0384,CMP-05,100,2026-03-28T19:43:00Z,,
D-00526,C-0491,CMP-05,50,2026-06-10T17:34:00Z,,
D-00150,C-0777,CMP-02,50,2026-07-09T22:58:33Z,TXN-000154,
D-00560,C-0734,CMP-01,10,2026-03-28T12:05:00Z,,
D-00364,C-0319,CMP-02,25,2026-03-08T12:52:00Z,,
D-00231,C-0509,CMP-02,25,2026-07-14T11:57:12Z,TXN-000235,
D-00472,C-0699,CMP-05,10,2026-06-04T11:47:00Z,,
D-00637,C-0278,CMP-03,500,2026-06-17T09:17:00Z,,
D-00380,C-0457,CMP-01,50,2026-03-05T14:42:00Z,,
D-00043,C-0065,CMP-02,15,2026-07-04T00:12:04Z,TXN-000044,
D-00469,C-0566,CMP-01,25,2026-06-10T17:30:00Z,,
D-00224,C-0738,CMP-04,10,2026-07-14T09:10:32Z,TXN-000228,
D-00536,C-0767,CMP-01,500,2026-05-12T19:44:00Z,,
D-00507,C-0670,CMP-04,10,2026-03-26T16:59:00Z,,
D-00713,C-0151,CMP-03,10,2026-07-11T09:00:00Z,,PL-011
D-00674,C-0367,CMP-03,15,2026-03-04T09:00:00Z,,PL-004
D-00241,C-0468,CMP-04,25,2026-06-05T12:55:00Z,,
D-00738,C-0688,CMP-03,25,2026-07-16T09:00:00Z,,PL-016
D-00297,C-0580,CMP-03,50,2026-03-11T14:19:00Z,,
D-00007,C-0151,CMP-04,250,2026-07-01T19:33:46Z,TXN-000007,
D-00284,C-0284,CMP-01,50,2026-03-28T15:41:00Z,,
D-00061,C-0015,CMP-02,50,2026-07-04T13:42:44Z,TXN-000062,
D-00783,C-0706,CMP-03,25,2026-07-25T09:00:00Z,,PL-025
D-00802,C-0221,CMP-03,25,2026-06-28T09:00:00Z,,PL-029
D-00683,C-0460,CMP-03,25,2026-07-05T09:00:00Z,,PL-005
D-00457,C-0296,CMP-01,50,2026-04-09T19:22:00Z,,
D-00130,C-0594,CMP-02,100,2026-07-08T06:00:13Z,TXN-000134,
D-00056,C-0074,CMP-04,25,2026-07-03T23:29:27Z,TXN-000057,
D-00426,C-0054,CMP-05,10,2026-04-13T11:46:00Z,,
D-00260,C-0333,CMP-05,10,2026-07-21T19:34:00Z,,
D-00059,C-0800,CMP-04,250,2026-07-05T00:35:18Z,TXN-000060,
D-00147,C-0124,CMP-04,25,2026-07-09T19:59:57Z,TXN-000151,
D-00246,C-0334,CMP-01,500,2026-03-07T09:48:00Z,,
D-00804,C-0298,CMP-03,10,2026-03-28T09:00:00Z,,PL-030
D-00658,C-0495,CMP-03,500,2026-05-21T08:00:00Z,,
D-00187,C-0511,CMP-02,10,2026-07-11T18:49:51Z,TXN-000191,
D-00055,C-0063,CMP-02,15,2026-07-03T05:00:46Z,TXN-000056,
D-00057,C-0296,CMP-02,10,2026-07-04T18:01:34Z,TXN-000058,
D-00766,C-0673,CMP-03,10,2026-05-22T09:00:00Z,,PL-022
D-00614,C-0650,CMP-03,500,2026-07-02T18:37:00Z,,
D-00460,C-0547,CMP-03,500,2026-03-15T14:08:00Z,,
